Error generating output for folder Golden fleece(invisible, myth, metaphor, Non-English European, English): 
Error generating output for folder बोया पेड़ बबूल का, तो आम कहाँ से होय।(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 'NoneType' object is not callable
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Week1Collection/fxx/internlm-xcomposer2d5-7b_results.json
CUDA is available. Number of GPUs: 2
Model wrapped with DataParallel for multi-GPU support.
Skipping already processed folder: Golden fleece(invisible, myth, metaphor, Non-English European, English)
Skipping already processed folder: Pandora's box(invisible, myth, metaphor, Non-English European, English)
Skipping already processed folder: Medusa's gaze(invisible, myth, metaphor, Non-English European, English)
Error generating output for folder Trojan Horse(visible, myth, relation, Non-English European, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Skipping already processed folder: Phoenix Rising(invisible, myth, relation, USAEnglish, English)
Successfully processed folder: Banshee's Wail(invisible, myth, relation, USAEnglish, English)
Successfully processed folder: Narcissus' reflection(invisible, myth, mutual elements, Non-English European, English)
Successfully processed folder: Loch Ness Monster(invisible, myth, mutual elements, Non-English European, English)
Successfully processed folder: Hole in one(visible, sport, mutual elements, other, English)
Successfully processed folder: Slam dunk(visible, sport, mutual elements, other, English)
Successfully processed folder: Grand Slam(invisible, sport, relation, other, English)
Successfully processed folder: Alley-oop(visible, sport, relation, other, English)
Successfully processed folder: Hattrick(invisible, sport, relation, USAEnglish, English)
Successfully processed folder: Buzzer-beater(invisible, sport, metaphor, other, English)
Successfully processed folder: Photo finish(invisible, sport, metaphor, other, English)
Successfully processed folder: Echolocation(invisible, animal, mutual elements, other, English)
Successfully processed folder: Hibernation(visible, animal, mutual elements, other, English)
Successfully processed folder: Bioluminescence(visible, animal, mutual elements, other, English)
Successfully processed folder: Symbiosis(invisible, animal, relation, other, English)
Successfully processed folder: Metamorphosis(invisible, animal, relation, other, English)
Successfully processed folder: Nocturnal(invisible, animal, metaphor, other, English)
Successfully processed folder: Endangered species(invisible, animal, metaphor, other, English)
Successfully processed folder: Prime number(invisible, STEM, mutual elements, other, English)
Successfully processed folder: Quantum computing(invisible, STEM, mutual elements, other, English)
Error generating output for folder Palindromic Number(visible, STEM, relation, other, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Error generating output for folder Perfect Number(invisible, STEM, relation, other, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Successfully processed folder: Bayes' theorem(invisible, STEM, metaphor, other, English)
Successfully processed folder: π (pi)(invisible, STEM, metaphor, other, English)
Successfully processed folder: Mise en place(invisible, food, mutual elements, other, English)
Successfully processed folder: Kosher(invisible, food, mutual elements, USAEnglish, English)
Successfully processed folder: Halal(invisible, food, relation, other, English)
Successfully processed folder: Sous-vide(visible, food, relation, other, English)
Successfully processed folder: Blanching(visible, food, metaphor, other, English)
Successfully processed folder: Koji Fermentation(visible, food, metaphor, East Asia, English)
Successfully processed folder: Archipelago(visible, country, mutual elements, Non-English European, English)
Successfully processed folder: Geopolitics(invisible, country, mutual elements, other, English)
Error generating output for folder Secession(invisible, country, relation, USAEnglish, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Error generating output for folder Sanctions(invisible, country, relation, other, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Successfully processed folder: Inflation(invisible, country, metaphor, other, English)
Successfully processed folder: Exclave(invisible, country, metaphor, other, English)
Successfully processed folder: Woodstock(invisible, city, mutual elements, USAEnglish, English)
Successfully processed folder: Skyscraper(visible, city, mutual elements, other, English)
Successfully processed folder: Liberty Bell(invisible, city, relation, USAEnglish, English)
Successfully processed folder: Motor City(visible, city, relation, USAEnglish, English)
Successfully processed folder: 鸟巢(invisible, city, metaphor, East Asia, Chinese)
Successfully processed folder: CRISPR gene editing(visible, STEM, mutual elements, other, English)
Successfully processed folder: Blockchain Technology(invisible, STEM, mutual elements, other, English)
Successfully processed folder: Fibonacci sequence(invisible, STEM, relation, USAEnglish, English)
Error generating output for folder Bernoulli Principle(invisible, STEM, relation, USAEnglish, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Error generating output for folder Gravitational waves(invisible, STEM, metaphor, other, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Successfully processed folder: Nanotech(invisible, STEM, metaphor, other, English)
Successfully processed folder: Garfield(invisible, cartoon or game, mutual elements, USAEnglish, English)
Successfully processed folder: Homer Simpson(invisible, cartoon or game, mutual elements, USAEnglish, English)
Error generating output for folder Scooby-Doo(invisible, cartoon or game, mutual elements, USAEnglish, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Error generating output for folder Popeye(invisible, cartoon or game, mutual elements, USAEnglish, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Successfully processed folder: Ninja Turtles(invisible, cartoon or game, mutual elements, USAEnglish, English)
Error generating output for folder Powerpuff Girls(invisible, cartoon or game, mutual elements, USAEnglish, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Successfully processed folder: Dragon Ball(invisible, cartoon or game, mutual elements, East Asia, English)
Error generating output for folder Codename KND(invisible, cartoon or game, mutual elements, USAEnglish, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Successfully processed folder: Danny Phantom(invisible, cartoon or game, mutual elements, USAEnglish, English)
Error generating output for folder Rock, Paper, Scissors(invisible, cartoon or game, mutual elements, NA, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Error generating output for folder Chess knight's move(invisible, cartoon or game, relation, USAEnglish, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Error generating output for folder Pacman ghost patterns(invisible, cartoon or game, relation, East Asia, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Successfully processed folder: Snake and Ladder Karma(invisible, cartoon or game, relation, other, English)
Error generating output for folder Hide and Seek Counting(invisible, cartoon or game, relation, NA, English): The number of elements in 'fill' does not match the number of channels of the image (3 != 1)
Successfully processed folder: Hopscotch pattern(visible, cartoon or game, relation, USAEnglish, English)
Successfully processed folder: Marbles Circle(invisible, cartoon or game, relation, NA, English)
CUDA is available. Number of GPUs: 2
Model wrapped with DataParallel for multi-GPU support.
Skipping already processed folder: Golden fleece(invisible, myth, metaphor, Non-English European, English)
Skipping already processed folder: Pandora's box(invisible, myth, metaphor, Non-English European, English)
Skipping already processed folder: Medusa's gaze(invisible, myth, metaphor, Non-English European, English)
Error generating output for folder Trojan Horse(visible, myth, relation, Non-English European, English): 
Skipping already processed folder: Phoenix Rising(invisible, myth, relation, USAEnglish, English)
Skipping already processed folder: Banshee's Wail(invisible, myth, relation, USAEnglish, English)
Skipping already processed folder: Narcissus' reflection(invisible, myth, mutual elements, Non-English European, English)
Skipping already processed folder: Loch Ness Monster(invisible, myth, mutual elements, Non-English European, English)
Skipping already processed folder: Hole in one(visible, sport, mutual elements, other, English)
Skipping already processed folder: Slam dunk(visible, sport, mutual elements, other, English)
Skipping already processed folder: Grand Slam(invisible, sport, relation, other, English)
Skipping already processed folder: Alley-oop(visible, sport, relation, other, English)
Skipping already processed folder: Hattrick(invisible, sport, relation, USAEnglish, English)
Skipping already processed folder: Buzzer-beater(invisible, sport, metaphor, other, English)
Skipping already processed folder: Photo finish(invisible, sport, metaphor, other, English)
Skipping already processed folder: Echolocation(invisible, animal, mutual elements, other, English)
Skipping already processed folder: Hibernation(visible, animal, mutual elements, other, English)
Skipping already processed folder: Bioluminescence(visible, animal, mutual elements, other, English)
Skipping already processed folder: Symbiosis(invisible, animal, relation, other, English)
Skipping already processed folder: Metamorphosis(invisible, animal, relation, other, English)
Skipping already processed folder: Nocturnal(invisible, animal, metaphor, other, English)
Skipping already processed folder: Endangered species(invisible, animal, metaphor, other, English)
Skipping already processed folder: Prime number(invisible, STEM, mutual elements, other, English)
Skipping already processed folder: Quantum computing(invisible, STEM, mutual elements, other, English)
Error generating output for folder Palindromic Number(visible, STEM, relation, other, English): 
Error generating output for folder Perfect Number(invisible, STEM, relation, other, English): 
Skipping already processed folder: Bayes' theorem(invisible, STEM, metaphor, other, English)
Skipping already processed folder: π (pi)(invisible, STEM, metaphor, other, English)
Skipping already processed folder: Mise en place(invisible, food, mutual elements, other, English)
Skipping already processed folder: Kosher(invisible, food, mutual elements, USAEnglish, English)
Skipping already processed folder: Halal(invisible, food, relation, other, English)
Skipping already processed folder: Sous-vide(visible, food, relation, other, English)
Skipping already processed folder: Blanching(visible, food, metaphor, other, English)
Skipping already processed folder: Koji Fermentation(visible, food, metaphor, East Asia, English)
Skipping already processed folder: Archipelago(visible, country, mutual elements, Non-English European, English)
Skipping already processed folder: Geopolitics(invisible, country, mutual elements, other, English)
Error generating output for folder Secession(invisible, country, relation, USAEnglish, English): 
Error generating output for folder Sanctions(invisible, country, relation, other, English): 
Skipping already processed folder: Inflation(invisible, country, metaphor, other, English)
Skipping already processed folder: Exclave(invisible, country, metaphor, other, English)
Skipping already processed folder: Woodstock(invisible, city, mutual elements, USAEnglish, English)
Skipping already processed folder: Skyscraper(visible, city, mutual elements, other, English)
Skipping already processed folder: Liberty Bell(invisible, city, relation, USAEnglish, English)
Skipping already processed folder: Motor City(visible, city, relation, USAEnglish, English)
Skipping already processed folder: 鸟巢(invisible, city, metaphor, East Asia, Chinese)
Skipping already processed folder: CRISPR gene editing(visible, STEM, mutual elements, other, English)
Skipping already processed folder: Blockchain Technology(invisible, STEM, mutual elements, other, English)
Skipping already processed folder: Fibonacci sequence(invisible, STEM, relation, USAEnglish, English)
Error generating output for folder Bernoulli Principle(invisible, STEM, relation, USAEnglish, English): 
Error generating output for folder Gravitational waves(invisible, STEM, metaphor, other, English): 
Skipping already processed folder: Nanotech(invisible, STEM, metaphor, other, English)
Skipping already processed folder: Garfield(invisible, cartoon or game, mutual elements, USAEnglish, English)
Skipping already processed folder: Homer Simpson(invisible, cartoon or game, mutual elements, USAEnglish, English)
Error generating output for folder Scooby-Doo(invisible, cartoon or game, mutual elements, USAEnglish, English): 
Error generating output for folder Popeye(invisible, cartoon or game, mutual elements, USAEnglish, English): 
Skipping already processed folder: Ninja Turtles(invisible, cartoon or game, mutual elements, USAEnglish, English)
Error generating output for folder Powerpuff Girls(invisible, cartoon or game, mutual elements, USAEnglish, English): 
Skipping already processed folder: Dragon Ball(invisible, cartoon or game, mutual elements, East Asia, English)
Error generating output for folder Codename KND(invisible, cartoon or game, mutual elements, USAEnglish, English): 
Skipping already processed folder: Danny Phantom(invisible, cartoon or game, mutual elements, USAEnglish, English)
Error generating output for folder Rock, Paper, Scissors(invisible, cartoon or game, mutual elements, NA, English): 
Error generating output for folder Chess knight's move(invisible, cartoon or game, relation, USAEnglish, English): 
Error generating output for folder Pacman ghost patterns(invisible, cartoon or game, relation, East Asia, English): 
Skipping already processed folder: Snake and Ladder Karma(invisible, cartoon or game, relation, other, English)
Error generating output for folder Hide and Seek Counting(invisible, cartoon or game, relation, NA, English): 
Skipping already processed folder: Hopscotch pattern(visible, cartoon or game, relation, USAEnglish, English)
Skipping already processed folder: Marbles Circle(invisible, cartoon or game, relation, NA, English)
Error generating output for folder Blind Man's Buff(invisible, cartoon or game, relation, USAEnglish, English): 
Error generating output for folder Strategic Decision(invisible, cartoon or game, relation, NA, English): 
Error generating output for folder Predicting the Future(invisible, cartoon or game, relation, NA, English): 
Error generating output for folder Naruto's Ramen(invisible, cartoon or game, relation, East Asia, English): 
Error generating output for folder Pink Panther(invisible, cartoon or game, relation, USAEnglish, English): 
Error generating output for folder Phineas & Ferb(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder Ms.Frizzle(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder Scooby Snacks(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder What is up, Doc(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder Zoinks!(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder Steven Universe(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder Tower Defense(invisible, cartoon or game, metaphor, NA, English): 
Error generating output for folder Compass Rose D-pade(invisible, cartoon or game, metaphor, NA, English): 
Error generating output for folder Power-up Mushroom(invisible, cartoon or game, metaphor, East Asia, English): 
Error generating output for folder Morse Code MIDI(invisible, music, metaphor, NA, English): 
Error generating output for folder Treble Clef(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder Quarter Note(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder タイコ(invisible, music, metaphor, East Asia, Japanese): 
Error generating output for folder Indian Tabla(invisible, music, metaphor, other, English): 
Error generating output for folder The Beatles(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder Bollywood Music(invisible, music, metaphor, other, English): 
Error generating output for folder Woodstock(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder Grammy Awards(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder Rock and Roll(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder Vinyl Record(invisible, music, relation, NA, English): 
Error generating output for folder Piano Keys(invisible, music, relation, USAEnglish, English): 
Error generating output for folder Microphone(invisible, music, relation, NA, English): 
Error generating output for folder Saxophone(invisible, music, relation, NA, English): 
Error generating output for folder Orchestra(invisible, music, relation, USAEnglish, English): 
Error generating output for folder Music Box(invisible, music, relation, USAEnglish, English): 
Error generating output for folder Bach's Cello Suite(invisible, music, relation, USAEnglish, English): 
Error generating output for folder Sitar(invisible, music, relation, South Asia and South-East Asia, English): 
Error generating output for folder Opera Mask(invisible, music, relation, Non-English European, English): 
Error generating output for folder Headphones(invisible, music, relation, NA, English): 
Error generating output for folder Choral Group(invisible, music, relation, NA, English): 
Error generating output for folder Fedora Hat(visible, music, mutual elements, USAEnglish, English): 
Error generating output for folder Hakka Folk Songs(invisible, music, mutual elements, East Asia, English): 
Error generating output for folder Beethoven's Fifth Symphony(invisible, music, mutual elements, USAEnglish, English): 
Error generating output for folder Chopin’s Nocturnes(invisible, music, mutual elements, USAEnglish, English): 
Error generating output for folder Queer Anthems(invisible, music, mutual elements, NA, English): 
Error generating output for folder Didgeridoo(visible, music, mutual elements, other, English): 
Error generating output for folder American Bluegrass(visible, music, mutual elements, USAEnglish, English): 
Error generating output for folder Montreux Jazz Festival(invisible, music, mutual elements, USAEnglish, English): 
Error generating output for folder Orff Approach(invisible, music, mutual elements, Non-English European, English): 
Error generating output for folder The Dinner Party(invisible, art, mutual elements, USAEnglish, English): 
Error generating output for folder Slavic Embroidery(invisible, art, mutual elements, Non-English European, English): 
Error generating output for folder Elgin Marbles(invisible, art, relation, Non-English European, English): 
Error generating output for folder Terracotta Army(invisible, art, relation, East Asia, English): 
Error generating output for folder The Bauhaus Movement(invisible, art, mutual elements, Non-English European, English): 
Error generating output for folder Statue of Liberty(invisible, art, mutual elements, USAEnglish, English): 
Error generating output for folder The Louvre(visible, art, relation, Non-English European, English): 
Error generating output for folder Warhol’s Campbell’s Soup Cans(invisible, art, relation, USAEnglish, English): 
Error generating output for folder Berlin Wall Art(invisible, art, relation, Non-English European, English): 
Error generating output for folder St. Peter’s Basilica(invisible, art, relation, Non-English European, English): 
Error generating output for folder Baroque Influence(invisible, art, relation, Non-English European, English): 
Error generating output for folder 文化大革命(invisible, art, mutual elements, East Asia, Chinese): 
Error generating output for folder 一寸光阴一寸金(invisible, art, metaphor, East Asia, Chinese): 
Error generating output for folder 画蛇添足(invisible, art, relation, East Asia, Chinese): 
Error generating output for folder Kachina Dolls(visible, art, relation, USAEnglish, English): 
Error generating output for folder Arabic Calligraphy(invisible, art, mutual elements, other, English): 
Error generating output for folder Shadow Puppetry(visible, art, mutual elements, East Asia, English): 
Error generating output for folder NFT Art(invisible, art, mutual elements, NA, English): 
Error generating output for folder Matryoshka Dolls(invisible, art, relation, other, English): 
Error generating output for folder Maya Stelae(invisible, art, relation, other, English): 
Error generating output for folder ঠাকুর ঘরে কে আমি কলা খাই না(invisible, art, metaphor, other, Bengali): 
Error generating output for folder চোর পালালে বুদ্ধি বাড়ে(invisible, art, metaphor, other, Bengali): 
Error generating output for folder না থাকলে বাঘ, কুকুরেই রাজা(invisible, art, metaphor, other, Bengali): 
Error generating output for folder ঘোড়া ডুবলে খুরা বুঝা যায়(invisible, art, metaphor, South Asia and South-East Asia, Bengali): 
Error generating output for folder घर की मुर्गी दाल बराबर(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 
Error generating output for folder बूंद बूंद से सागर भरता है(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 
Error generating output for folder जितना लम्बा सोने का काला, उतना ही अधिक है गधे का भाला(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 
Error generating output for folder सांप निकल जाने पर लकीर पीटना(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 
Error generating output for folder नौ सौ चूहे खाकर बिल्ली चली हज को(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 
Error generating output for folder भगवद गीता(invisible, art, relation, South Asia and South-East Asia, Hindi): 
Error generating output for folder चाचा चौधरी(invisible, cartoon or game, relation, South Asia and South-East Asia, Hindi): 
Error generating output for folder पंचतंत्र(invisible, cartoon or game, mutual elements, South Asia and South-East Asia, Hindi): 
Error generating output for folder शिवाजी का सामना(invisible, cartoon or game, mutual elements, South Asia and South-East Asia, Hindi): 
Error generating output for folder गणेश चतुर्थी(invisible, art, mutual elements, South Asia and South-East Asia, Hindi): 
Error generating output for folder ऊँट के मुँह में जीरा।(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 
Error generating output for folder नाच ना जाने आँगन टेढ़ा।(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 
Error generating output for folder अधजल गगरी छलकत जाए।(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 
Error generating output for folder अंधे के हाथ बटेर लगना।(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 
Error generating output for folder बोया पेड़ बबूल का, तो आम कहाँ से होय।(invisible, art, metaphor, South Asia and South-East Asia, Hindi): 
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Week1Collection/fxx/internlm-xcomposer2d5-7b_results.json
CUDA is available. Number of GPUs: 2
Model wrapped with DataParallel for multi-GPU support.
Skipping already processed folder: Golden fleece(invisible, myth, metaphor, Non-English European, English)
Skipping already processed folder: Pandora's box(invisible, myth, metaphor, Non-English European, English)
Skipping already processed folder: Medusa's gaze(invisible, myth, metaphor, Non-English European, English)
Error generating output for folder Trojan Horse(visible, myth, relation, Non-English European, English): 
Skipping already processed folder: Phoenix Rising(invisible, myth, relation, USAEnglish, English)
Skipping already processed folder: Banshee's Wail(invisible, myth, relation, USAEnglish, English)
Skipping already processed folder: Narcissus' reflection(invisible, myth, mutual elements, Non-English European, English)
Skipping already processed folder: Loch Ness Monster(invisible, myth, mutual elements, Non-English European, English)
Skipping already processed folder: Hole in one(visible, sport, mutual elements, other, English)
Skipping already processed folder: Slam dunk(visible, sport, mutual elements, other, English)
Skipping already processed folder: Grand Slam(invisible, sport, relation, other, English)
Skipping already processed folder: Alley-oop(visible, sport, relation, other, English)
Skipping already processed folder: Hattrick(invisible, sport, relation, USAEnglish, English)
Skipping already processed folder: Buzzer-beater(invisible, sport, metaphor, other, English)
Skipping already processed folder: Photo finish(invisible, sport, metaphor, other, English)
Skipping already processed folder: Echolocation(invisible, animal, mutual elements, other, English)
Skipping already processed folder: Hibernation(visible, animal, mutual elements, other, English)
Skipping already processed folder: Bioluminescence(visible, animal, mutual elements, other, English)
Skipping already processed folder: Symbiosis(invisible, animal, relation, other, English)
Skipping already processed folder: Metamorphosis(invisible, animal, relation, other, English)
Skipping already processed folder: Nocturnal(invisible, animal, metaphor, other, English)
Skipping already processed folder: Endangered species(invisible, animal, metaphor, other, English)
Skipping already processed folder: Prime number(invisible, STEM, mutual elements, other, English)
Skipping already processed folder: Quantum computing(invisible, STEM, mutual elements, other, English)
Error generating output for folder Palindromic Number(visible, STEM, relation, other, English): 
Error generating output for folder Perfect Number(invisible, STEM, relation, other, English): 
Skipping already processed folder: Bayes' theorem(invisible, STEM, metaphor, other, English)
Skipping already processed folder: π (pi)(invisible, STEM, metaphor, other, English)
Skipping already processed folder: Mise en place(invisible, food, mutual elements, other, English)
Skipping already processed folder: Kosher(invisible, food, mutual elements, USAEnglish, English)
Skipping already processed folder: Halal(invisible, food, relation, other, English)
Skipping already processed folder: Sous-vide(visible, food, relation, other, English)
Skipping already processed folder: Blanching(visible, food, metaphor, other, English)
Skipping already processed folder: Koji Fermentation(visible, food, metaphor, East Asia, English)
Skipping already processed folder: Archipelago(visible, country, mutual elements, Non-English European, English)
Skipping already processed folder: Geopolitics(invisible, country, mutual elements, other, English)
Error generating output for folder Secession(invisible, country, relation, USAEnglish, English): 
Error generating output for folder Sanctions(invisible, country, relation, other, English): 
Skipping already processed folder: Inflation(invisible, country, metaphor, other, English)
Skipping already processed folder: Exclave(invisible, country, metaphor, other, English)
Skipping already processed folder: Woodstock(invisible, city, mutual elements, USAEnglish, English)
Skipping already processed folder: Skyscraper(visible, city, mutual elements, other, English)
Skipping already processed folder: Liberty Bell(invisible, city, relation, USAEnglish, English)
Skipping already processed folder: Motor City(visible, city, relation, USAEnglish, English)
Skipping already processed folder: 鸟巢(invisible, city, metaphor, East Asia, Chinese)
Skipping already processed folder: CRISPR gene editing(visible, STEM, mutual elements, other, English)
Skipping already processed folder: Blockchain Technology(invisible, STEM, mutual elements, other, English)
Skipping already processed folder: Fibonacci sequence(invisible, STEM, relation, USAEnglish, English)
Error generating output for folder Bernoulli Principle(invisible, STEM, relation, USAEnglish, English): 
Error generating output for folder Gravitational waves(invisible, STEM, metaphor, other, English): 
Skipping already processed folder: Nanotech(invisible, STEM, metaphor, other, English)
Skipping already processed folder: Garfield(invisible, cartoon or game, mutual elements, USAEnglish, English)
Skipping already processed folder: Homer Simpson(invisible, cartoon or game, mutual elements, USAEnglish, English)
Error generating output for folder Scooby-Doo(invisible, cartoon or game, mutual elements, USAEnglish, English): 
Error generating output for folder Popeye(invisible, cartoon or game, mutual elements, USAEnglish, English): 
Skipping already processed folder: Ninja Turtles(invisible, cartoon or game, mutual elements, USAEnglish, English)
Error generating output for folder Powerpuff Girls(invisible, cartoon or game, mutual elements, USAEnglish, English): 
Skipping already processed folder: Dragon Ball(invisible, cartoon or game, mutual elements, East Asia, English)
Error generating output for folder Codename KND(invisible, cartoon or game, mutual elements, USAEnglish, English): 
Skipping already processed folder: Danny Phantom(invisible, cartoon or game, mutual elements, USAEnglish, English)
Error generating output for folder Rock, Paper, Scissors(invisible, cartoon or game, mutual elements, NA, English): 
Error generating output for folder Chess knight's move(invisible, cartoon or game, relation, USAEnglish, English): 
Error generating output for folder Pacman ghost patterns(invisible, cartoon or game, relation, East Asia, English): 
Skipping already processed folder: Snake and Ladder Karma(invisible, cartoon or game, relation, other, English)
Error generating output for folder Hide and Seek Counting(invisible, cartoon or game, relation, NA, English): 
Skipping already processed folder: Hopscotch pattern(visible, cartoon or game, relation, USAEnglish, English)
Skipping already processed folder: Marbles Circle(invisible, cartoon or game, relation, NA, English)
Error generating output for folder Blind Man's Buff(invisible, cartoon or game, relation, USAEnglish, English): 
Error generating output for folder Strategic Decision(invisible, cartoon or game, relation, NA, English): 
Error generating output for folder Predicting the Future(invisible, cartoon or game, relation, NA, English): 
Error generating output for folder Naruto's Ramen(invisible, cartoon or game, relation, East Asia, English): 
Error generating output for folder Pink Panther(invisible, cartoon or game, relation, USAEnglish, English): 
Error generating output for folder Phineas & Ferb(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder Ms.Frizzle(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder Scooby Snacks(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder What is up, Doc(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder Zoinks!(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder Steven Universe(invisible, cartoon or game, metaphor, USAEnglish, English): 
Error generating output for folder Tower Defense(invisible, cartoon or game, metaphor, NA, English): 
Error generating output for folder Compass Rose D-pade(invisible, cartoon or game, metaphor, NA, English): 
Error generating output for folder Power-up Mushroom(invisible, cartoon or game, metaphor, East Asia, English): 
Error generating output for folder Morse Code MIDI(invisible, music, metaphor, NA, English): 
Error generating output for folder Treble Clef(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder Quarter Note(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder タイコ(invisible, music, metaphor, East Asia, Japanese): 
Error generating output for folder Indian Tabla(invisible, music, metaphor, other, English): 
Error generating output for folder The Beatles(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder Bollywood Music(invisible, music, metaphor, other, English): 
Error generating output for folder Woodstock(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder Grammy Awards(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder Rock and Roll(invisible, music, metaphor, USAEnglish, English): 
Error generating output for folder Vinyl Record(invisible, music, relation, NA, English): 
Error generating output for folder Piano Keys(invisible, music, relation, USAEnglish, English): 
Error generating output for folder Microphone(invisible, music, relation, NA, English): 
Error generating output for folder Saxophone(invisible, music, relation, NA, English): 
Error generating output for folder Orchestra(invisible, music, relation, USAEnglish, English): 
Error generating output for folder Music Box(invisible, music, relation, USAEnglish, English): 
Error generating output for folder Bach's Cello Suite(invisible, music, relation, USAEnglish, English): 
Error generating output for folder Sitar(invisible, music, relation, South Asia and South-East Asia, English): 
Error generating output for folder Opera Mask(invisible, music, relation, Non-English European, English): 
Error generating output for folder Headphones(invisible, music, relation, NA, English): 
Error generating output for folder Choral Group(invisible, music, relation, NA, English): 
Error generating output for folder Fedora Hat(visible, music, mutual elements, USAEnglish, English): 
Error generating output for folder Hakka Folk Songs(invisible, music, mutual elements, East Asia, English): 
Error generating output for folder Beethoven's Fifth Symphony(invisible, music, mutual elements, USAEnglish, English): 
Error generating output for folder Chopin’s Nocturnes(invisible, music, mutual elements, USAEnglish, English): 
Error generating output for folder Queer Anthems(invisible, music, mutual elements, NA, English): 
Error generating output for folder Didgeridoo(visible, music, mutual elements, other, English): 
Error generating output for folder American Bluegrass(visible, music, mutual elements, USAEnglish, English): 
Error generating output for folder Montreux Jazz Festival(invisible, music, mutual elements, USAEnglish, English): 
Error generating output for folder Orff Approach(invisible, music, mutual elements, Non-English European, English): 
Error generating output for folder The Dinner Party(invisible, art, mutual elements, USAEnglish, English): 
Error generating output for folder Slavic Embroidery(invisible, art, mutual elements, Non-English European, English): 
Error generating output for folder Elgin Marbles(invisible, art, relation, Non-English European, English): 
Error generating output for folder Terracotta Army(invisible, art, relation, East Asia, English): 
Error generating output for folder The Bauhaus Movement(invisible, art, mutual elements, Non-English European, English): 
Error generating output for folder Statue of Liberty(invisible, art, mutual elements, USAEnglish, English): 
Error generating output for folder The Louvre(visible, art, relation, Non-English European, English): 
Error generating output for folder Warhol’s Campbell’s Soup Cans(invisible, art, relation, USAEnglish, English): 
Error generating output for folder Berlin Wall Art(invisible, art, relation, Non-English European, English): 
Error generating output for folder St. Peter’s Basilica(invisible, art, relation, Non-English European, English): 
Error generating output for folder Baroque Influence(invisible, art, relation, Non-English European, English): 
Error generating output for folder 文化大革命(invisible, art, mutual elements, East Asia, Chinese): 
Error generating output for folder 一寸光阴一寸金(invisible, art, metaphor, East Asia, Chinese): 
Error generating output for folder 画蛇添足(invisible, art, relation, East Asia, Chinese): 
Error generating output for folder Kachina Dolls(visible, art, relation, USAEnglish, English): 
Error generating output for folder Arabic Calligraphy(invisible, art, mutual elements, other, English): 
Error generating output for folder Shadow Puppetry(visible, art, mutual elements, East Asia, English): 
Error generating output for folder NFT Art(invisible, art, mutual elements, NA, English): 
